Opening Time,Type [buy/sell],Symbol,Setup,Size / Quantity,Closing Time,Entry Price,Closing Price,Swap,Commission,Net Profit,Stop Loss (optional),Take Profit(optional),Highest price (optional),Lowest price (optional)
2018-11-04 16:00:00,BUY,BTCUSD,chopdev exp 3,63.95,2018-11-09 08:00:00,213.66000000,211.50000000,,19.03085900,-162.59000000,209.37283000,237.21930200,224.59939200,207.42112800
2018-12-18 20:00:00,BUY,BTCUSD,chopdev exp 3,134.48,2018-12-24 00:00:00,100.39000000,147.58000000,,23.34231400,6315.94000000,98.37563600,111.45954200,147.49298800,97.65939200
2019-02-08 12:00:00,BUY,BTCUSD,chopdev exp 3,176.00,2019-02-24 00:00:00,112.56000000,165.47000000,,34.25296500,9268.03000000,110.30144000,124.97147200,165.37315200,108.90180000
2019-03-16 20:00:00,BUY,BTCUSD,chopdev exp 3,206.29,2019-03-21 12:00:00,140.92000000,134.58000000,,39.78258300,-1359.01000000,138.09238600,156.45859800,141.87825600,131.08378400
2019-03-29 08:00:00,BUY,BTCUSD,chopdev exp 3,196.19,2019-04-11 00:00:00,141.25000000,168.88000000,,42.59173500,5366.05000000,138.41576400,156.82498600,185.74375000,139.44200000
2019-05-03 08:00:00,BUY,BTCUSD,chopdev exp 3,197.60,2019-05-04 12:00:00,167.38000000,161.99000000,,45.55735200,-1123.61000000,164.02145600,185.83622000,171.14605000,159.61356800
2019-05-06 12:00:00,BUY,BTCUSD,chopdev exp 3,187.27,2019-05-09 12:00:00,170.61000000,168.35000000,,44.43497100,-480.37000000,167.18664500,189.42237700,182.60388300,164.63865000
2019-05-11 08:00:00,BUY,BTCUSD,chopdev exp 3,167.29,2019-05-16 12:00:00,188.12000000,276.54000000,,54.41369800,14721.99000000,184.34530000,208.86312400,276.36709200,180.83975600
2019-06-12 20:00:00,BUY,BTCUSD,chopdev exp 3,176.83,2019-06-27 12:00:00,261.15000000,311.72000000,,70.91126400,8851.23000000,255.90992500,289.94580500,366.57625500,251.51356500
2019-08-05 00:00:00,BUY,BTCUSD,chopdev exp 3,239.99,2019-08-08 08:00:00,229.27000000,224.34000000,,76.20394000,-1281.14000000,224.66960900,254.55054500,238.94519400,220.74115600
2019-09-14 16:00:00,BUY,BTCUSD,chopdev exp 3,287.69,2019-09-22 16:00:00,186.81000000,206.64000000,,79.23359100,5602.98000000,183.06158600,207.40867700,223.77969900,185.59573500
2019-10-25 16:00:00,BUY,BTCUSD,chopdev exp 3,328.45,2019-10-31 08:00:00,180.67000000,180.30000000,,82.99224100,-228.23000000,177.04478700,200.59164700,197.58071200,173.64193700
2020-01-05 16:00:00,BUY,BTCUSD,chopdev exp 3,428.45,2020-01-08 16:00:00,137.97000000,137.84000000,,82.71907300,-162.05000000,135.20157900,153.18331500,147.64169700,134.07924600
2020-01-14 08:00:00,BUY,BTCUSD,chopdev exp 3,388.96,2020-01-20 08:00:00,151.56000000,163.04000000,,85.65710200,4355.15000000,148.51889000,168.27182200,179.35610400,150.62032800
2020-01-30 20:00:00,BUY,BTCUSD,chopdev exp 3,342.75,2020-02-12 20:00:00,184.69000000,271.50000000,,109.45093900,29613.28000000,180.98412400,205.05491400,271.32807900,175.04918200
2020-04-06 08:00:00,BUY,BTCUSD,chopdev exp 3,602.24,2020-04-10 04:00:00,154.24000000,158.05000000,,131.65059600,2125.25000000,151.14511500,171.24733300,176.08038400,153.42252800
2020-04-18 12:00:00,BUY,BTCUSD,chopdev exp 3,514.97,2020-04-20 16:00:00,184.50000000,167.42000000,,126.86011500,-8958.82000000,180.79793700,204.84396300,189.37080000,166.97250000
2020-04-29 16:00:00,BUY,BTCUSD,chopdev exp 3,398.62,2020-05-04 00:00:00,215.90000000,203.60000000,,117.05397000,-5053.49000000,211.56788300,239.70629700,227.10521000,201.80173000
2020-05-18 00:00:00,BUY,BTCUSD,chopdev exp 3,376.68,2020-05-21 12:00:00,215.07000000,199.21000000,,109.23563500,-6114.59000000,210.75453800,238.78477600,216.87658800,196.40192400
2020-05-28 20:00:00,BUY,BTCUSD,chopdev exp 3,340.15,2020-06-07 08:00:00,220.21000000,238.89000000,,109.31252700,6213.37000000,215.79140200,244.49154000,253.59383600,217.36929100
2020-06-22 12:00:00,BUY,BTCUSD,chopdev exp 3,335.88,2020-06-24 12:00:00,241.49000000,232.10000000,,111.34795700,-3297.06000000,236.64441000,268.11798800,249.02448800,230.86444000
2020-07-06 08:00:00,BUY,BTCUSD,chopdev exp 3,330.17,2020-07-10 04:00:00,235.69000000,238.02000000,,109.48248600,628.53000000,230.96079000,261.67844900,248.67651900,234.18158400
2020-07-21 08:00:00,BUY,BTCUSD,chopdev exp 3,322.82,2020-08-01 04:00:00,243.00000000,357.21000000,,135.63156000,36694.81000000,238.12411200,269.79448800,356.99130000,241.29900000
